name,Region,year,y_diff,pop_n,pop_u,wat_bas_n,wat_bas_n(rounded),wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_bas_r(rounded),wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_bas_u(rounded),wat_lim_u,wat_unimp_u,wat_sur_u,ARC_N,ARC_N(full),ARC_N(filtered),ARC_R,ARC_R(full),ARC_R(filtered),ARC_U,ARC_U(full),ARC_U(filtered),ARC_DIFF
Afghanistan,South Asia,2015,,34413.60156,24.8029995,61.33978081,61,3.511199514,22.16878383,12.98023585,52.98850202,53,3.861136617,26.55326757,16.59709379,86.65894072,87,2.450270561,8.876035732,2.014752987,2.750326488,,2.750326488,2.667882638,,2.667882638,2.668211856,,2.668211856,-0.000329218
Afghanistan,South Asia,2020,5,38928.33984,26.02599907,75.09141325,75,1.447541688,14.56026288,8.900782174,66.32791521,66,1.956824851,19.68294895,12.03231098,100,100,0,0,0,,,,,,,,,,
Albania,Europe & Central Asia,2015,,2890.523926,57.43399811,93.39432534,93,3.626383658,2.979291004,0,90.62727461,91,5.263172648,4.109552744,0,95.44506696,95,2.41331182,2.141621216,0,0.334742698,,0.334742698,0.69281669,,0.69281669,0.043748432,,0.043748432,0.649068258
Albania,Europe & Central Asia,2020,5,2877.800049,62.11199951,95.06803883,95,1.884656092,3.047305081,0,94.09135806,94,2.305264955,3.603376986,0,95.66380912,96,1.62808683,2.708104054,0,,,,,,,,,,
Algeria,Middle East & North Africa,2015,,39728.01953,70.84799957,93.40956153,93,5.157780893,1.275464684,0.1571928913,88.35270686,88,8.685753121,2.580431801,0.3811082155,95.4903147,95,3.706117317,0.7385100851,0.06505789753,0.205553686,,0.205553686,0.33696621,,0.33696621,0.102884232,,0.102884232,0.234081978
Algeria,Middle East & North Africa,2020,5,43851.04297,73.73300171,94.43732996,94,4.985880842,0.5318366638,0.04495253272,90.03753791,90,8.79672214,0.9946030281,0.1711369258,96.00473586,96,3.628288591,0.3669755478,0,,,,,,,,,,
American Samoa,East Asia & Pacific,2015,,55.80599976,87.23800659,99.61910315,100,0,0.3808968461,0,null,null,null,null,null,null,null,null,null,null,0.030933702,Full access,0.030933702,Null,,,Null,,,
American Samoa,East Asia & Pacific,2020,5,55.1969986,87.15299988,99.77377166,100,0,0.2262283415,0,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,
Andorra,Europe & Central Asia,2015,,77.99299622,88.34499359,99.99999755,100,0,0.000002445538357,0,100,100,0,0,0,100,100,0,0,0,0.000001229999998,Full access,0.000001229999998,0,Full access,,0,Full access,,0
Andorra,Europe & Central Asia,2020,5,77.26499939,87.91600037,100.0000037,100,0,0,0,100,100,0,0,0,100,100,0,0,0,,,,,,,,,,
Angola,Sub-Saharan Africa,2015,,27884.38086,63.44599533,54.31692835,54,11.36861866,17.37235635,16.94209664,26.7143694,27,9.931069288,21.72530762,41.62925369,70.21996512,70,12.19685349,14.86443147,2.718749921,0.570161854,,0.570161854,0.218771442,,0.218771442,0.3046367,,0.3046367,-0.085865258
Angola,Sub-Saharan Africa,2020,5,32866.26953,66.82499695,57.16773762,57,9.287349919,19.45082534,14.09408712,27.80822661,28,8.740488389,22.93315258,40.51813242,71.74314862,72,9.558837489,17.72203473,0.9759791629,,,,,,,,,,
Anguilla,Latin America & Caribbean,2015,,14.27900028,100,97.48227425,97,0,2.517725753,0,null,null,null,null,null,97.48227425,97,0,2.517725753,0,0,,0,Null,,,0,,0,
Anguilla,Latin America & Caribbean,2017,2,14.5880003,100,97.48227425,97,0,2.517725753,0,null,null,null,null,null,97.48227425,97,0,2.517725753,0,,,,,,,,,,
